figure_id,filename,generator_script,data_source,model_version,generated_at,source_type
01,01_system_overview.png,scripts/export_report_evidence.py,src/zhiyu_brain + services/gui_backend.py,risk_xgb_v1;ranker_xgb_v1,2026-09-09T07:14:52.264402+00:00,SOFTWARE_IN_THE_LOOP
02,02_spatial_risk_map.png,scripts/export_report_evidence.py,outputs/logs/report_evidence.db + Phase-1 RegionState,risk_xgb_v1,2026-09-09T07:14:52.403980+00:00,SOFTWARE_IN_THE_LOOP
03,03_risk_prediction.png,scripts/export_report_evidence.py,data/processed/risk_dataset.csv (split=test),risk_xgb_v1,2026-09-09T07:14:52.540647+00:00,SIMULATION
04,04_ranker_decision.png,scripts/export_report_evidence.py,data/processed/rank_dataset.csv (split=test),ranker_xgb_v1,2026-09-09T07:14:52.638463+00:00,SIMULATION
05,05_feature_importance.png,scripts/export_report_evidence.py,models/risk/model.json + feature_columns.json,risk_xgb_v1,2026-09-09T07:14:52.751686+00:00,SIMULATION
06,06_shap_summary.png,scripts/export_report_evidence.py,risk_dataset test sample + XGBoost pred_contribs,risk_xgb_v1,2026-09-09T07:14:53.057314+00:00,SIMULATION
07,07_rule_vs_ranker.png,scripts/export_report_evidence.py,data/processed/rank_dataset.csv + scripts/train_ranker.py,ranker_xgb_v1,2026-09-09T07:14:53.160497+00:00,SIMULATION
08,08_closed_loop_timeline.png,scripts/export_report_evidence.py,outputs/logs/report_evidence.db: task_state_events,task_state_machine_v1,2026-09-09T07:14:53.279145+00:00,SOFTWARE_IN_THE_LOOP
09,09_safety_fallback.png,scripts/export_report_evidence.py,outputs/logs/report_evidence.db: safety_events + unified runtime,safety_supervisor_v1,2026-09-09T07:14:53.384640+00:00,SOFTWARE_IN_THE_LOOP
10,10_prediction_residuals.png,scripts/export_report_evidence.py,data/processed/risk_dataset.csv (split=test),risk_xgb_v1,2026-09-09T07:14:53.483771+00:00,SIMULATION
11,11_trend_accuracy.png,scripts/export_report_evidence.py,data/processed/risk_dataset.csv (split=test),risk_xgb_v1,2026-09-09T07:14:53.560932+00:00,SIMULATION
12,12_ndcg_distribution.png,scripts/export_report_evidence.py,data/processed/rank_dataset.csv (split=test),ranker_xgb_v1,2026-09-09T07:14:53.724323+00:00,SIMULATION
13,13_ranker_vs_rule_utility.png,scripts/export_report_evidence.py,outputs/metrics/rank_metrics.json,ranker_xgb_v1,2026-09-09T07:14:53.824888+00:00,SIMULATION
14,14_cycle_risk_change.png,scripts/export_report_evidence.py,outputs/logs/report_evidence.db: purification_events,risk_xgb_v1,2026-09-09T07:14:53.911196+00:00,SOFTWARE_IN_THE_LOOP
